"","test","group","yint","gender_male","age1","age2","education","Android Smartphone","iPad","iPhone","Macintosh","reg_sd","min","max","flip"
"1","SRT","adult","278.35030030247","-14.5243584464856","8.87918650426908","0.19346473365239","-0.838339930485347","70.8287125331651","35.5958794212246","28.5162360037411","-7.43599148483423","61.3443469315157","200",NA,"TRUE"
"2","SRT","adult","298.881067710041","-19.505858731053","12.7660445249973","-0.371919568628941","-3.29971160210878",NA,NA,NA,NA,"66.7919145627353","200",NA,"TRUE"
"3","SRT","adolescent","430.758754159508","-14.0209004240433","-17.8347837023922","0.540953145036897",NA,"59.2268186417132","28.2019679546037","22.2106869792715","-2.4416456219811","46.2126934600292","200",NA,"TRUE"
"4","SRT","adolescent","459.060327340669","-15.0444323004489","-20.4031279997792","0.636225370424469",NA,NA,NA,NA,NA,"50.9947187331877","200",NA,"TRUE"
"5","CRT.RT","adult","930.428937228476","-66.3632543684059","-27.6125373171658","13.01966877205","-12.6543245013228","93.711164082693","-2.66307203580851","40.6880600067869","-37.1220126911956","261.078898868043","500",NA,"TRUE"
"6","CRT.RT","adult","963.096049266924","-70.2055250325336","-26.9002858206834","12.6159409269473","-16.7169180481126",NA,NA,NA,NA,"263.92195824357","500",NA,"TRUE"
"7","CRT.RT","adolescent","1532.07339024308","-35.8100822894006","-78.8840403598349","2.21751507208743",NA,"138.737215992804","27.1931364482322","33.953530622218","-16.7683134768264","237.641459855031","500",NA,"TRUE"
"8","CRT.RT","adolescent","1489.84799195841","-32.401093620213","-72.2393279270211","2.06509324742805",NA,NA,NA,NA,NA,"243.535281996026","500",NA,"TRUE"
"9","CRT.ACC","adult","0.8798818467243","-0.00462093154649912","0.025822079742266","-0.00291834993583496","0.00670901834893141","0.00768557378530813","0.00436652684376416","0.0120519626719723","-0.000782207837524684","0.111177826106608","0.5","1","FALSE"
"10","CRT.ACC","adult","0.883020762258338","-0.00549188592152744","0.0265379205027591","-0.0030276782036675","0.00640597471653024",NA,NA,NA,NA,"0.111236627058556","0.5","1","FALSE"
"11","CRT.ACC","adolescent","0.625917431320076","-0.0143162714808534","0.0310006654549061","-0.000783861689935247",NA,"0.000717408408139965","0.030836122575616","0.0153667340952416","0.0073482398440181","0.134531605105247","0.5","1","FALSE"
"12","CRT.ACC","adolescent","0.627949400273074","-0.0161572049986322","0.0314281959857144","-0.000800149241145495",NA,NA,NA,NA,NA,"0.13468556615307","0.5","1","FALSE"
"13","BDS","adult","4.84173660290517","0.125597321671602","0.126159125666336","-0.0332327390154167","0.177023309918637","-0.325048518688412","-0.165820331574515","-0.231218039391591","-0.194530061257533","1.84763851172172","2","11","FALSE"
"14","BDS","adult","4.7051210931399","0.163285135153879","0.120040208670637","-0.0321045829321341","0.184396796082795",NA,NA,NA,NA,"1.85084589877806","2","11","FALSE"
"15","BDS","adolescent","2.51684185571524","0.0194698535068533","0.193757038790969","-0.0021965516983375",NA,"0.130590397281129","0.394973315692204","-0.104968728305214","-0.0211306463936896","1.88910295726458","2","11","FALSE"
"16","BDS","adolescent","2.71561195008825","0.018932780736937","0.173088129756448","-0.00161920214341585",NA,NA,NA,NA,NA,"1.88965881663986","2","11","FALSE"
"17","FDS","adult","5.72806448020458","0.0775651094639036","0.280015390731497","-0.0484446794953914","0.158931474595808","-0.290849665672238","-0.0524026506917244","-0.129547682531782","0.118177142087087","1.60476708647603","2","11","FALSE"
"18","FDS","adult","5.61728620895917","0.0893045799975112","0.259666267090892","-0.0448331449230843","0.174295369698607",NA,NA,NA,NA,"1.60961084202707","2","11","FALSE"
"19","FDS","adolescent","0.867522291163002","0.104860829964542","0.497340983869021","-0.0113883842648879",NA,"0.125449303735647","0.431813101289601","0.255300741951966","0.107450439394195","1.66724940275416","2","11","FALSE"
"20","FDS","adolescent","1.14811164445415","0.0852226741137495","0.473972777937494","-0.010664670152889",NA,NA,NA,NA,NA,"1.66988173725555","2","11","FALSE"
"21","DSM","adult","60.3684825614241","0.810353848414916","-2.65752650980557","-0.128986654725565","0.644954783869925","-8.31482127585237","-3.68552851266457","-7.24917821594649","1.03959659671722","12.3392735488247","2",NA,"FALSE"
"22","DSM","adult","57.2322723008833","1.72125940027559","-3.37876113692702","-0.0209465185397053","0.992174270572158",NA,NA,NA,NA,"12.8637561602548","2",NA,"FALSE"
"23","DSM","adolescent","-0.2719959247531","1.91116360454716","6.12004344545123","-0.163320916190229",NA,"-9.9089549810389","-5.7743472859722","-7.49255087026233","0.227207041724082","13.3365755395099","2",NA,"FALSE"
"24","DSM","adolescent","-5.15852593633624","2.25679084661174","6.44517729723236","-0.174932967676051",NA,NA,NA,NA,NA,"13.9319254953726","2",NA,"FALSE"
"25","Matrix","adult","22.6941943871626","1.27401018133587","1.17422570382179","-0.275684068465574","0.863656223613992","-0.918443844293241","-0.70696314142662","-0.754716956289819","0.297260000907414","5.62203381200867","1","36","FALSE"
"26","Matrix","adult","22.4849266748935","1.37759373502967","1.06926742749991","-0.26145794380489","0.889620781011097",NA,NA,NA,NA,"5.63437139870051","1","36","FALSE"
"27","Matrix","adolescent","27.9367199820585","1.17398029188979","-0.699944701740207","0.0314124661385843",NA,"-0.879735534969211","-1.19156943824583","0.409158012093543","1.47641622802905","6.05102028834809","1","36","FALSE"
"28","Matrix","adolescent","27.7926144517436","0.993756221710794","-0.7080183613906","0.0329578703248359",NA,NA,NA,NA,NA,"6.07968572576022","1","36","FALSE"
"29","CPT.C","adult","0.774702806351364","0.0447304578999975","-0.0483755322968021","-0.00120368790815974","0.00167194419954183","-0.0459029142201454","-0.0702061181125622","-0.0587388582826106","0.0508177384741075","0.428790532928245","0","11","FALSE"
"30","CPT.C","adult","0.761294072453465","0.048711184288436","-0.0525939310945936","-0.00077768518097923","0.00470865599594414",NA,NA,NA,NA,"0.430107982117967","0","11","FALSE"
"31","CPT.C","adolescent","0.752751926812744","0.0472051260251206","0.0150566808150046","-0.000871403080011128",NA,"-0.032173258650434","-0.0634598410741177","-0.0124634581831917","0.0343838185706283","0.512140174855771","0","11","FALSE"
"32","CPT.C","adolescent","0.727273414424899","0.0454813819776757","0.0173851021062722","-0.000924656607520744",NA,NA,NA,NA,NA,"0.512432089556524","0","11","FALSE"
"33","CPT.D","adult","2.1922105538898","0.0283966306117243","0.329723977678913","-0.047042033832587","0.0499651413887126","-0.215124748498201","0.252237140702397","-0.0736121581290763","0.13034125167548","0.77566433104761","0","11","FALSE"
"34","CPT.D","adult","2.12340997797379","0.0292427452874891","0.335490319853215","-0.0459097561699608","0.0585820528190867",NA,NA,NA,NA,"0.783817745832717","0","11","FALSE"
"35","CPT.D","adolescent","-1.61762139049513","0.0477971626303369","0.440756574143743","-0.0116073953624324",NA,"-0.167916659207781","0.108457492220697","-0.00785366006016739","0.121441810911383","0.795929495873811","0","11","FALSE"
"36","CPT.D","adolescent","-1.73702100557933","0.0359203314091895","0.454798623579355","-0.0120120620547305",NA,NA,NA,NA,NA,"0.799698714425023","0","11","FALSE"
"37","Vis","adult","14.3735785845613","-0.872030037483884","1.00268433017007","-0.203193579198456","0.418640615452011","-1.09812738760787","-0.150500310644567","-0.942987985598149","0.44267282342267","4.34141006652295","5","24","FALSE"
"38","Vis","adult","14.0702847893171","-0.753683017553673","0.911959950100212","-0.189297491366286","0.459978718072862",NA,NA,NA,NA,"4.36982086410864","5","24","FALSE"
"39","Vis","adolescent","1.84132485579187","-0.643909039093457","1.58166427874281","-0.0415742416807952",NA,"-0.532873645103471","0.0955755729974664","-1.34912457974246","-0.242637363655954","4.68405955428805","5","24","FALSE"
"40","Vis","adolescent","2.67808660942965","-0.547644261571394","1.46222962572363","-0.0384747953641454",NA,NA,NA,NA,NA,"4.69871867269723","5","24","FALSE"
"41","Verb","adult","15.4861686473249","-1.0348852295873","0.667921066011459","-0.167299489063857","0.922157652421095","-1.19693354637082","0.276437915851028","-0.964293458230675","0.725093287672482","5.51374528617144","6","25","FALSE"
"42","Verb","adult","15.034115381822","-0.982168075876485","0.622402656115405","-0.155848676063473","0.988404273495315",NA,NA,NA,NA,"5.5469458548681","6","25","FALSE"
"43","Verb","adolescent","1.43360295594839","-1.56290750596708","1.76074370260969","-0.0434827455372767",NA,"-0.455515134458579","0.377952168094523","-0.411304671589676","1.19638112922864","5.56821278821866","6","25","FALSE"
"44","Verb","adolescent","2.01412585983551","-1.59557263540384","1.6888830872572","-0.0411249142529206",NA,NA,NA,NA,NA,"5.58611576984955","6","25","FALSE"
"45","TA.total","adult","22780.0857504449","-989.435022207161","3379.27956569254","31.5010755072929","-622.423393271476","11541.282724249","-4586.77744758586","12966.2330396792","-1288.91211428073","15399.2115142758","5000",NA,"TRUE"
"46","TA.total","adult","25404.7301083662","-1782.14786003511","3248.18978921698","0.593402530831454","-810.04530418863",NA,NA,NA,NA,"15927.514579679","5000",NA,"TRUE"
"47","TA.total","adolescent","60649.2220027597","-1080.48735386903","-3883.32070083388","108.554142948761",NA,"14045.2158836362","-3215.34814133047","11670.5371178907","643.662147506568","11499.2159806365","5000",NA,"TRUE"
"48","TA.total","adolescent","61772.5403687168","-1605.61837010726","-3947.8092851484","114.530495287463",NA,NA,NA,NA,NA,"12183.9508402934","5000",NA,"TRUE"
"49","TA.errors","adult","-0.377353411977245","-0.610312969688845","1.67814524650676","-0.110315667748209","-0.087540622641087","0.86506976145938","-0.171552288001688","2.01176692183067","-0.460137858167044","6.14064081549416","0","25","TRUE"
"50","TA.errors","adult","-0.165223622255845","-0.705073819435702","1.7073752253302","-0.118209097215891","-0.121421446106729",NA,NA,NA,NA,"6.16179002944151","0","25","TRUE"
"51","TA.errors","adolescent","0.986161407977906","-0.427920280294621","0.10860854948134","-0.00310626108196831",NA,"1.07892741508986","0.497846697348126","2.55205298592619","-0.207985363491452","4.13143253123956","0","25","TRUE"
"52","TA.errors","adolescent","1.65838540988815","-0.495889703462156","0.025855090424138","5.04843609125113e-05",NA,NA,NA,NA,NA,"4.1805314148451","0","25","TRUE"
"53","TA.mRT","adult","590.402988191635","-14.7117397361572","44.1468137303379","0.913641116662734","-5.9155947380862","144.411374991727","-162.229503715245","154.790907649245","4.86436071531969","222.737677047195","150",NA,"TRUE"
"54","TA.mRT","adult","634.067158686796","-22.0503793099323","32.7495139622681","1.34634023398652","-6.6037362376542",NA,NA,NA,NA,"231.457165784421","150",NA,"TRUE"
"55","TA.mRT","adolescent","1232.1618131111","-17.2406998521841","-66.3123648414838","1.81791676426751",NA,"205.807492796745","-119.232295981823","125.314153291069","46.848638587135","202.123256274581","150",NA,"TRUE"
"56","TA.mRT","adolescent","1174.20542556533","-27.4781482442461","-56.1362503391305","1.54167559860056",NA,NA,NA,NA,NA,"210.962360373476","150",NA,"TRUE"
"57","TB.total","adult","44535.6886426943","-427.088538763731","-1192.7316601178","677.72481189396","-1450.32293402549","15409.3054449834","-452.972907011565","15972.054177489","-646.850019135923","19127.5670499622","5000",NA,"TRUE"
"58","TB.total","adult","47777.3219256095","-1655.9450127007","-988.657015042754","613.465996263507","-1704.50911325878",NA,NA,NA,NA,"19728.0995656339","5000",NA,"TRUE"
"59","TB.total","adolescent","117047.129669861","180.017671715096","-8652.93682419745","234.484236480558",NA,"16283.9009514568","-1412.67971436566","12919.4933260528","1309.8655475117","16973.7486857157","5000",NA,"TRUE"
"60","TB.total","adolescent","118562.726353848","-435.310088383215","-8725.75175186033","240.758194116039",NA,NA,NA,NA,NA,"17482.2146258171","5000",NA,"TRUE"
"61","TB.errors","adult","1.41745964789432","-0.0175931033847574","-0.0154586670088437","0.0383382292667861","-0.0666420048110164","0.384953717515398","0.296803919972221","0.846863976150228","0.0968429210976117","3.45199998183489","0","25","TRUE"
"62","TB.errors","adult","1.52937379335472","-0.080857247705891","0.0164416566653518","0.0339186729007749","-0.0726599000710125",NA,NA,NA,NA,"3.45697791117695","0","25","TRUE"
"63","TB.errors","adolescent","8.55662306384286","0.153720069033455","-0.754751664756285","0.0199155028412968",NA,"0.193028635738979","0.107800555963121","0.79261153311571","0.0490187229960938","3.01212850421218","0","25","TRUE"
"64","TB.errors","adolescent","8.57176306794825","0.124222678040636","-0.749674809457937","0.0198587393400713",NA,NA,NA,NA,NA,"3.01609866617641","0","25","TRUE"
"65","TB.mRT","adult","1103.35586882148","-3.39822863494905","-13.0522147028597","12.3083227743498","-32.4664277226793","313.892759524031","-85.1441296232896","347.825579468136","-17.339353952031","414.709756353509","150",NA,"TRUE"
"66","TB.mRT","adult","1176.47853923964","-27.1049114027326","-14.9069482014008","11.4331689349483","-37.3360503659323",NA,NA,NA,NA,"427.892965355807","150",NA,"TRUE"
"67","TB.mRT","adolescent","2436.15878696052","2.18108653570615","-161.615461801433","4.37428578980934",NA,"338.52999427592","-70.3895303302494","263.742234634568","39.3304820585232","384.176088243056","150",NA,"TRUE"
"68","TB.mRT","adolescent","2429.0481528255","-11.8917246411976","-157.785815971924","4.33571379852113",NA,NA,NA,NA,NA,"394.133375780929","150",NA,"TRUE"
